comentario,sentimiento
"No afecta mi vida, pero es interesante saberlo.",neutro
Esto es una completa pérdida de tiempo.,negativo
"Buenísima recomendación, la probaré!",positivo
"Es un buen punto, aunque depende de la perspectiva.",neutro
Qué publicación tan aburrida y sin sentido.,negativo
"No estoy de acuerdo para nada, pésimo argumento.",negativo
"Esto no aporta nada, mejor bórralo.",negativo
"Gran trabajo, sigue así!",positivo
Esto es una completa pérdida de tiempo.,negativo
"Curioso, pero no tengo una opinión fuerte al respecto.",neutro
"Algunas partes son ciertas, otras no tanto.",neutro
"Es un buen punto, aunque depende de la perspectiva.",neutro
"Gran trabajo, sigue así!",positivo
"Esto no aporta nada, mejor bórralo.",neutro
"Gran trabajo, sigue así!",positivo
"Demasiado exagerado, no vale la pena leerlo.",negativo
Esto es una completa pérdida de tiempo.,negativo
Esto es una completa pérdida de tiempo.,neutro
"No estoy de acuerdo para nada, pésimo argumento.",negativo
Esto es una completa pérdida de tiempo.,negativo
Esto es una completa pérdida de tiempo.,negativo
"Totalmente de acuerdo, muy buen punto.",positivo
"Podría ser cierto, aunque hay otras opiniones.",neutro
"Me encanta esta publicación, muy inspiradora!",positivo
Qué publicación tan aburrida y sin sentido.,negativo
"Interesante, pero me gustaría más información.",neutro
"Demasiado exagerado, no vale la pena leerlo.",positivo
Uno de los mejores posts que he visto!,positivo
"No es algo en lo que piense mucho, pero es válido.",neutro
"No tiene sentido lo que dices, muy decepcionante.",negativo
"Malísima recomendación, no la sigan.",negativo
"No afecta mi vida, pero es interesante saberlo.",neutro
"Demasiado exagerado, no vale la pena leerlo.",negativo
"Qué hermosa imagen, me alegra el día!",positivo
Creo que es un tema que merece más análisis.,neutro
"Interesante, pero me gustaría más información.",neutro
"Es un buen punto, aunque depende de la perspectiva.",neutro
"Ni bueno ni malo, simplemente un comentario más.",neutro
No entiendo por qué esto está en mi feed.,neutro
"No es algo en lo que piense mucho, pero es válido.",neutro
"Gran trabajo, sigue así!",positivo
"Esto no aporta nada, mejor bórralo.",negativo
"Algunas partes son ciertas, otras no tanto.",neutro
Qué publicación tan aburrida y sin sentido.,negativo
"Totalmente de acuerdo, muy buen punto.",positivo
"Muy útil la información, me ayudó mucho.",positivo
"No estoy de acuerdo para nada, pésimo argumento.",negativo
"Es un buen punto, aunque depende de la perspectiva.",neutro
"No estoy de acuerdo para nada, pésimo argumento.",negativo
No entiendo por qué esto está en mi feed.,negativo
"Ni bueno ni malo, simplemente un comentario más.",neutro
"Buenísima recomendación, la probaré!",positivo
"Totalmente de acuerdo, muy buen punto.",positivo
Creo que es un tema que merece más análisis.,neutro
Uno de los mejores posts que he visto!,positivo
Qué publicación tan aburrida y sin sentido.,negativo
Qué publicación tan aburrida y sin sentido.,negativo
"No estoy de acuerdo para nada, pésimo argumento.",positivo
"Esto no aporta nada, mejor bórralo.",negativo
"No afecta mi vida, pero es interesante saberlo.",neutro
"Excelente contenido, gracias por compartir!",positivo
"Muy útil la información, me ayudó mucho.",positivo
"No tiene sentido lo que dices, muy decepcionante.",negativo
"Ni bueno ni malo, simplemente un comentario más.",neutro
"Esto no aporta nada, mejor bórralo.",negativo
"Es un buen punto, aunque depende de la perspectiva.",neutro
Esto es una completa pérdida de tiempo.,negativo
"Curioso, pero no tengo una opinión fuerte al respecto.",neutro
Creo que es un tema que merece más análisis.,neutro
Siempre publicas cosas interesantes!,positivo
No estoy seguro de qué pensar al respecto.,neutro
"Es un buen punto, aunque depende de la perspectiva.",neutro
No estoy seguro de qué pensar al respecto.,neutro
"Es un buen punto, aunque depende de la perspectiva.",positivo
"No estoy de acuerdo para nada, pésimo argumento.",negativo
Qué publicación tan aburrida y sin sentido.,negativo
"Buenísima recomendación, la probaré!",positivo
"No tiene sentido lo que dices, muy decepcionante.",negativo
Uno de los mejores posts que he visto!,positivo
"No tiene sentido lo que dices, muy decepcionante.",negativo
"Excelente contenido, gracias por compartir!",positivo
"Curioso, pero no tengo una opinión fuerte al respecto.",neutro
"Me encanta esta publicación, muy inspiradora!",positivo
Siempre publicas cosas interesantes!,positivo
"Podría ser cierto, aunque hay otras opiniones.",positivo
Uno de los mejores posts que he visto!,positivo
"Ni bueno ni malo, simplemente un comentario más.",neutro
Me decepcionó mucho este contenido.,negativo
"Ni bueno ni malo, simplemente un comentario más.",neutro
"No afecta mi vida, pero es interesante saberlo.",neutro
"Muy útil la información, me ayudó mucho.",positivo
"No afecta mi vida, pero es interesante saberlo.",neutro
"Esto no aporta nada, mejor bórralo.",negativo
Me decepcionó mucho este contenido.,negativo
"Buenísima recomendación, la probaré!",positivo
"Demasiado exagerado, no vale la pena leerlo.",negativo
"No estoy de acuerdo para nada, pésimo argumento.",negativo
Qué publicación tan aburrida y sin sentido.,negativo
Esto es una completa pérdida de tiempo.,negativo
"No afecta mi vida, pero es interesante saberlo.",neutro
"Qué hermosa imagen, me alegra el día!",positivo
"Me hiciste reír, gracias por compartir!",positivo
"Excelente contenido, gracias por compartir!",positivo
Esto es una completa pérdida de tiempo.,negativo
Qué publicación tan aburrida y sin sentido.,negativo
"Algunas partes son ciertas, otras no tanto.",neutro
"Totalmente de acuerdo, muy buen punto.",positivo
Qué publicación tan aburrida y sin sentido.,negativo
"Esto no aporta nada, mejor bórralo.",negativo
Me decepcionó mucho este contenido.,negativo
"Muy útil la información, me ayudó mucho.",positivo
"No estoy de acuerdo para nada, pésimo argumento.",negativo
"Esto no aporta nada, mejor bórralo.",negativo
Creo que es un tema que merece más análisis.,neutro
"No tiene sentido lo que dices, muy decepcionante.",negativo
"Es un buen punto, aunque depende de la perspectiva.",neutro
"Malísima recomendación, no la sigan.",negativo
Me decepcionó mucho este contenido.,negativo
"Algunas partes son ciertas, otras no tanto.",neutro
